Local time,Open,High,Low,Close,Volume
03.09.2018 01:59:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:00:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:01:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:02:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:03:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:04:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:05:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:06:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:07:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:08:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:09:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:10:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:11:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:12:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:13:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:14:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:15:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:16:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:17:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:18:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:19:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:20:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:21:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:22:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:23:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:24:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:25:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:26:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:27:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:28:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:29:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:30:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:31:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:32:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:33:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:34:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:35:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:36:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:37:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:38:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:39:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:40:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:41:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:42:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:43:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:44:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:45:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:46:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:47:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:48:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:49:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:50:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:51:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:52:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:53:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:54:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:55:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:56:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:57:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:58:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 02:59:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:00:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:01:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:02:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:03:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:04:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:05:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:06:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:07:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:08:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:09:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:10:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
